ORDERID,ORDERDATE,SHIPDATE,SHIPMODE,CUSTOMERID,PRODUCTID,ORDERCOSTPRICE,ORDERSELLINGPRICE
40,2020/12/27,2020/12/31,Standard Class,SN-20710,FUR-CH-10004218,191,212.0
41,2020/12/27,2020/12/31,Standard Class,SN-20710,TEC-PH-10000486,223,371.0
42,2022/09/10,2022/09/15,Standard Class,LC-16930,TEC-PH-10004093,103,147.0
43,2021/07/17,2021/07/22,Standard Class,RA-19885,OFF-ST-10003479,39,78.0
44,2022/09/19,2022/09/23,Standard Class,ES-14080,OFF-ST-10003282,76,96.0
45,2021/03/11,2021/03/13,First Class,ON-18715,TEC-AC-10000171,37,46.0
46,2021/03/11,2021/03/13,First Class,ON-18715,OFF-BI-10003291,10,17.0
47,2019/10/20,2019/10/25,Second Class,PO-18865,OFF-ST-10001713,191,212.0
48,2021/06/20,2021/06/25,Standard Class,LH-16900,TEC-AC-10002167,32,45.0
49,2021/06/20,2021/06/25,Standard Class,LH-16900,TEC-PH-10003988,20,22.0
50,2020/04/18,2020/04/22,Standard Class,DP-13000,OFF-BI-10004410,34,38.0
51,2020/04/18,2020/04/22,Standard Class,DP-13000,OFF-LA-10002762,60,75.0
52,2020/04/18,2020/04/22,Standard Class,DP-13000,FUR-FU-10001706,4,6.0
53,2020/04/18,2020/04/22,Standard Class,DP-13000,FUR-CH-10003061,54,90.0
54,2021/12/11,2021/12/17,Standard Class,JM-15265,OFF-FA-10000304,11,15.0
55,2021/12/11,2021/12/17,Standard Class,JM-15265,TEC-PH-10002447,824,1030.0
56,2021/06/17,2021/06/18,First Class,TB-21055,OFF-ST-10000604,167,209.0
57,2021/06/17,2021/06/18,First Class,TB-21055,OFF-PA-10001569,16,32.0
58,2021/06/17,2021/06/18,First Class,TB-21055,FUR-CH-10003968,160,319.0
59,2021/06/17,2021/06/18,First Class,TB-21055,OFF-PA-10000587,12,15.0
60,2021/06/17,2021/06/18,First Class,TB-21055,TEC-AC-10002167,18,30.0
61,2021/06/17,2021/06/18,First Class,TB-21055,OFF-BI-10001460,39,48.0
62,2021/06/17,2021/06/18,First Class,TB-21055,OFF-AR-10001868,1,2.0
63,2020/11/24,2020/11/30,Standard Class,KM-16720,TEC-AC-10004633,13,14.0
64,2020/11/24,2020/11/30,Standard Class,KM-16720,OFF-BI-10001078,13,26.0
65,2020/11/24,2020/11/30,Standard Class,KM-16720,OFF-PA-10003892,103,147.0
66,2020/11/24,2020/11/30,Standard Class,KM-16720,FUR-FU-10000397,64,80.0
67,2020/04/30,2020/05/05,Standard Class,PS-18970,FUR-CH-10001146,128,213.0
68,2019/12/05,2019/12/10,Standard Class,BS-11590,OFF-AR-10002671,779,1113.0
69,2019/12/05,2019/12/10,Standard Class,BS-11590,TEC-PH-10002726,101,168.0
70,2021/06/04,2021/06/06,First Class,KD-16270,OFF-PA-10000482,46,76.0
71,2021/09/18,2021/09/23,Standard Class,HM-14980,OFF-BI-10004654,4,5.0
72,2022/09/14,2022/09/17,Second Class,TB-21520,OFF-PA-10004675,15,19.0
73,2020/04/26,2020/05/02,Standard Class,JE-15745,FUR-CH-10000513,499,832.0
74,2020/04/26,2020/05/02,Standard Class,JE-15745,FUR-FU-10003708,78,97.0
75,2020/04/26,2020/05/02,Standard Class,JE-15745,OFF-ST-10004123,36,73.0
76,2022/12/09,2022/12/11,First Class,KB-16600,OFF-BI-10004182,1,1.0
77,2022/12/09,2022/12/11,First Class,KB-16600,FUR-FU-10000260,7,10.0
78,2022/12/09,2022/12/11,First Class,KB-16600,OFF-ST-10000615,19,27.0
79,2019/11/26,2019/12/01,Second Class,JE-15745,FUR-FU-10003194,12,19.0
80,2021/06/12,2021/06/15,First Class,SC-20770,OFF-AP-10002118,104,208.0
81,2021/06/12,2021/06/15,First Class,SC-20770,OFF-BI-10002309,12,17.0
82,2019/10/12,2019/10/16,Standard Class,DN-13690,OFF-AR-10002053,9,15.0
83,2019/10/12,2019/10/16,Standard Class,DN-13690,OFF-ST-10002370,13,21.0
84,2020/09/03,2020/09/08,Standard Class,JC-16105,OFF-EN-10000927,141,201.0
85,2022/11/13,2022/11/16,First Class,CS-12400,OFF-ST-10003656,207,230.0
86,2022/05/28,2022/05/30,Second Class,PO-18865,FUR-CH-10000863,181,302.0
87,2022/10/26,2022/11/02,Standard Class,PG-18895,TEC-AC-10001998,12,20.0
88,2022/10/26,2022/11/02,Standard Class,PG-18895,OFF-LA-10000134,3,6.0
89,2021/04/05,2021/04/10,Second Class,GM-14455,OFF-ST-10003442,95,158.0
90,2021/09/17,2021/09/22,Standard Class,JS-15685,OFF-AR-10004930,12,20.0
91,2021/09/17,2021/09/22,Standard Class,JS-15685,TEC-PH-10004093,37,74.0
92,2021/09/17,2021/09/22,Standard Class,JS-15685,OFF-PA-10000304,3,6.0
93,2020/01/31,2020/02/05,Second Class,KB-16315,OFF-PA-10003177,8,13.0
94,2020/01/31,2020/02/05,Second Class,KB-16315,FUR-FU-10003799,48,53.0
95,2020/01/31,2020/02/05,Second Class,KB-16315,OFF-BI-10002852,23,33.0
96,2022/11/06,2022/11/12,Standard Class,RB-19705,OFF-BI-10004738,4,6.0
97,2022/11/09,2022/11/11,Second Class,PN-18775,FUR-FU-10000629,48,97.0
99,2021/09/06,2021/09/11,Standard Class,ER-13855,OFF-AP-10000358,47,78.0
100,2021/08/29,2021/09/02,Standard Class,RB-19465,OFF-PA-10003256,32,65.0
101,2021/08/29,2021/09/02,Standard Class,RB-19465,TEC-AC-10001767,48,96.0
102,2021/08/29,2021/09/02,Standard Class,RB-19465,OFF-BI-10002609,2,2.0
103,2021/12/01,2021/12/04,Second Class,GZ-14470,OFF-PA-10004040,14,24.0
104,2020/11/13,2020/11/17,Standard Class,LC-16870,TEC-AC-10001552,191,239.0
105,2020/11/13,2020/11/17,Standard Class,LC-16870,FUR-FU-10004006,72,102.0
106,2020/11/13,2020/11/17,Standard Class,LC-16870,OFF-BI-10002794,18,37.0
107,2022/11/23,2022/11/28,Standard Class,JM-15250,TEC-AC-10003499,67,74.0
108,2022/11/23,2022/11/28,Standard Class,JM-15250,TEC-PH-10002844,14,28.0
109,2022/11/23,2022/11/28,Standard Class,JM-15250,OFF-AR-10000390,2,3.0
110,2020/10/15,2020/10/20,Standard Class,PA-19060,TEC-AC-10000844,272,340.0
111,2022/12/25,2022/12/30,Standard Class,CV-12805,FUR-FU-10001934,21,42.0
112,2021/11/03,2021/11/10,Standard Class,CL-12565,OFF-AR-10000380,61,76.0
113,2021/11/03,2021/11/10,Standard Class,CL-12565,OFF-BI-10003981,16,27.0
114,2019/08/25,2019/08/27,Second Class,RC-19960,OFF-FA-10000621,32,40.0
115,2019/08/25,2019/08/27,Second Class,RC-19960,OFF-EN-10002600,3,5.0
116,2019/08/25,2019/08/27,Second Class,RC-19960,OFF-PA-10004965,17,24.0
117,2019/08/25,2019/08/27,Second Class,RC-19960,OFF-EN-10002504,117,130.0
118,2020/03/02,2020/03/06,Standard Class,DK-13090,FUR-TA-10001768,551,788.0
119,2020/04/05,2020/04/10,Standard Class,GG-14650,OFF-BI-10003650,142,158.0
120,2021/06/12,2021/06/15,First Class,SC-20725,FUR-FU-10002157,42,47.0
121,2021/06/12,2021/06/15,First Class,SC-20725,OFF-BI-10003910,25,31.0
122,2021/06/12,2021/06/15,First Class,SC-20725,OFF-ST-10000777,136,227.0
123,2021/06/12,2021/06/15,First Class,SC-20725,OFF-EN-10002500,69,115.0
124,2021/06/12,2021/06/15,First Class,SC-20725,TEC-PH-10003875,34,68.0
125,2019/12/26,2019/12/28,Second Class,AD-10180,FUR-CH-10004063,360,601.0
126,2019/09/20,2019/09/25,Standard Class,PF-19165,FUR-TA-10004534,371,618.0
127,2022/11/05,2022/11/12,Standard Class,TS-21610,OFF-BI-10003274,2,2.0
128,2022/11/05,2022/11/12,Standard Class,TS-21610,OFF-ST-10002974,195,244.0
129,2021/11/06,2021/11/10,Second Class,LS-16975,FUR-CH-10001146,49,81.0
130,2021/11/06,2021/11/10,Second Class,LS-16975,FUR-FU-10003773,143,239.0
131,2022/02/02,2022/02/05,First Class,DW-13585,TEC-PH-10002293,30,60.0
132,2022/02/02,2022/02/05,First Class,DW-13585,OFF-PA-10002377,55,78.0
133,2022/02/02,2022/02/05,First Class,DW-13585,OFF-FA-10002780,13,21.0
134,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-PA-10001804,16,20.0
135,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-PA-10001736,32,35.0
136,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-AR-10001149,9,12.0
137,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-FA-10002988,4,4.0
138,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-BI-10004781,38,76.0
139,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-SU-10001218,46,66.0
140,2021/10/13,2021/10/19,Standard Class,LC-16885,FUR-FU-10001706,26,43.0
141,2021/09/05,2021/09/07,Second Class,JD-15895,FUR-FU-10004848,41,83.0
142,2022/09/18,2022/09/23,Standard Class,SH-19975,OFF-AR-10000940,4,9.0
143,2022/09/18,2022/09/23,Standard Class,SH-19975,OFF-EN-10004030,5,11.0
144,2022/09/18,2022/09/23,Standard Class,SH-19975,OFF-PA-10004327,101,144.0
145,2022/12/22,2022/12/27,Standard Class,SG-20080,OFF-AP-10001058,755,839.0
146,2020/09/07,2020/09/12,Standard Class,HA-14920,OFF-ST-10003656,605,672.0
147,2019/10/22,2019/10/28,Standard Class,MG-17680,FUR-FU-10000521,66,94.0
148,2021/12/05,2021/12/09,Standard Class,JE-16165,TEC-PH-10000215,346,384.0
149,2021/12/05,2021/12/09,Standard Class,JE-16165,TEC-PH-10001448,75,150.0
150,2021/12/05,2021/12/09,Standard Class,JE-16165,FUR-CH-10000454,1366,1952.0
151,2021/12/05,2021/12/09,Standard Class,JE-16165,OFF-BI-10002735,137,172.0
152,2021/03/13,2021/03/16,First Class,TW-21025,OFF-AP-10000326,95,158.0
153,2021/03/13,2021/03/16,First Class,TW-21025,TEC-PH-10001254,163,203.0
154,2020/05/31,2020/06/02,First Class,SP-20650,OFF-PA-10001950,47,58.0
155,2020/05/31,2020/06/02,First Class,SP-20650,OFF-PA-10002254,84,106.0
156,2020/05/31,2020/06/02,First Class,SP-20650,OFF-ST-10001590,57,81.0
157,2020/05/28,2020/06/03,Standard Class,NK-18490,OFF-AR-10001547,5,7.0
158,2019/03/01,2019/03/06,Second Class,DB-13060,FUR-CH-10004063,412,458.0
159,2021/11/20,2021/11/24,Standard Class,NP-18670,OFF-LA-10002475,10,15.0
160,2021/11/20,2021/11/24,Standard Class,NP-18670,TEC-PH-10004536,472,945.0
161,2021/05/11,2021/05/12,First Class,TT-21070,OFF-PA-10002751,3,6.0
162,2020/12/28,2020/12/31,Second Class,EM-13960,TEC-AC-10003657,33,54.0
163,2021/11/16,2021/11/20,Standard Class,RD-19900,OFF-EN-10001990,17,28.0
164,2021/11/07,2021/11/11,Standard Class,MJ-17740,OFF-BI-10004002,22,28.0
165,2019/09/08,2019/09/12,Standard Class,BM-11140,OFF-AR-10004441,7,10.0
166,2019/09/08,2019/09/12,Standard Class,BM-11140,TEC-MA-10000822,4896,8160.0
167,2019/09/08,2019/09/12,Standard Class,BM-11140,OFF-ST-10000991,193,276.0
168,2019/09/08,2019/09/12,Standard Class,BM-11140,FUR-CH-10004287,1044,1740.0
169,2019/09/08,2019/09/12,Standard Class,BM-11140,OFF-AR-10002656,19,32.0
170,2019/09/08,2019/09/12,Standard Class,BM-11140,OFF-AP-10002518,142,178.0
171,2019/09/08,2019/09/12,Standard Class,BM-11140,TEC-PH-10003931,86,144.0
172,2019/08/05,2019/08/09,Standard Class,CS-12130,OFF-PA-10000659,15,21.0
173,2019/08/05,2019/08/09,Standard Class,CS-12130,OFF-PA-10001144,55,111.0
174,2019/08/05,2019/08/09,Standard Class,CS-12130,FUR-CH-10003817,272,340.0
175,2019/09/14,2019/09/19,Standard Class,JB-15400,OFF-AP-10000891,37,52.0
176,2019/09/14,2019/09/19,Standard Class,JB-15400,OFF-LA-10003148,12,20.0
177,2022/04/21,2022/04/25,Second Class,SJ-20500,OFF-AP-10002684,88,97.0
178,2020/11/21,2020/11/23,Second Class,JE-15745,FUR-CH-10004698,238,397.0
179,2020/11/21,2020/11/23,Second Class,JE-15745,OFF-SU-10002189,8,16.0
180,2020/12/15,2020/12/19,Standard Class,JK-15640,OFF-AR-10001940,3,3.0
181,2019/12/05,2019/12/09,Second Class,DK-13150,OFF-ST-10003455,17,25.0
183,2019/11/19,2019/11/24,Second Class,RM-19675,TEC-PH-10003273,302,504.0
184,2019/11/19,2019/11/24,Second Class,RM-19675,TEC-PH-10004896,120,150.0
185,2019/11/19,2019/11/24,Second Class,RM-19675,TEC-AC-10002345,17,29.0
186,2021/11/28,2021/12/02,Standard Class,SK-19990,OFF-BI-10001890,4,7.0
187,2019/08/26,2019/08/30,Standard Class,FM-14290,TEC-AC-10002323,88,177.0
188,2021/07/16,2021/07/22,Standard Class,AM-10360,OFF-ST-10001328,26,37.0
189,2021/07/16,2021/07/22,Standard Class,AM-10360,OFF-PA-10001950,12,20.0
190,2020/10/12,2020/10/14,First Class,MP-17470,FUR-BO-10002613,450,899.0
191,2020/10/12,2020/10/14,First Class,MP-17470,TEC-PH-10001552,65,72.0
192,2020/10/12,2020/10/14,First Class,MP-17470,OFF-PA-10000061,31,52.0
193,2020/10/12,2020/10/14,First Class,MP-17470,FUR-BO-10002545,313,626.0
194,2020/10/12,2020/10/14,First Class,MP-17470,OFF-AR-10003514,16,20.0
195,2020/10/31,2020/11/06,Standard Class,MZ-17515,OFF-EN-10001509,13,14.0
196,2019/03/21,2019/03/25,Standard Class,CB-12025,OFF-AR-10004685,6,7.0
197,2019/03/21,2019/03/25,Standard Class,CB-12025,OFF-AR-10004027,5,6.0
198,2022/11/06,2022/11/13,Standard Class,VM-21685,OFF-ST-10001414,23,46.0
199,2022/07/06,2022/07/13,Standard Class,FH-14365,OFF-BI-10000343,2,3.0
200,2022/07/06,2022/07/13,Standard Class,FH-14365,OFF-PA-10002749,10,16.0
201,2022/06/24,2022/06/29,Standard Class,MB-17305,OFF-PA-10002666,17,22.0
202,2019/08/03,2019/08/05,First Class,BS-11755,FUR-TA-10004289,197,219.0
203,2019/08/03,2019/08/05,First Class,BS-11755,OFF-AP-10003622,2,3.0
204,2022/12/17,2022/12/21,Second Class,LC-17140,OFF-AP-10003217,40,66.0
205,2022/06/03,2022/06/07,Standard Class,HK-14890,FUR-FU-10002960,18,35.0
206,2022/12/09,2022/12/14,Standard Class,LE-16810,TEC-PH-10001918,356,445.0
207,2022/12/01,2022/12/07,Standard Class,JH-15985,OFF-ST-10000642,67,84.0
208,2022/12/01,2022/12/07,Standard Class,JH-15985,TEC-PH-10001700,79,132.0
209,2022/12/01,2022/12/07,Standard Class,JH-15985,OFF-BI-10003274,10,16.0
210,2022/12/01,2022/12/07,Standard Class,JH-15985,OFF-FA-10000134,37,52.0
211,2022/12/01,2022/12/07,Standard Class,JH-15985,OFF-ST-10001522,64,92.0
212,2020/02/09,2020/02/13,Second Class,MS-17980,TEC-AC-10001266,17,21.0
213,2020/01/02,2020/01/09,Standard Class,VW-21775,OFF-LA-10004544,21,24.0
214,2020/01/02,2020/01/09,Standard Class,VW-21775,FUR-BO-10004695,407,452.0
215,2020/01/02,2020/01/09,Standard Class,VW-21775,TEC-PH-10002844,44,63.0
216,2020/01/02,2020/01/09,Standard Class,VW-21775,TEC-MA-10000864,832,1188.0
217,2020/01/02,2020/01/09,Standard Class,VW-21775,TEC-AC-10000109,54,90.0
218,2021/10/28,2021/11/01,Standard Class,JH-15910,OFF-ST-10001328,84,93.0
219,2021/10/28,2021/11/01,Standard Class,JH-15910,TEC-PH-10002563,181,302.0
220,2020/12/24,2020/12/27,First Class,JB-15925,OFF-FA-10000585,4,6.0
221,2020/12/24,2020/12/27,First Class,JB-15925,OFF-PA-10004000,11,23.0
222,2020/12/24,2020/12/27,First Class,JB-15925,OFF-BI-10002852,18,20.0
223,2020/12/24,2020/12/27,First Class,JB-15925,FUR-FU-10000087,58,73.0
224,2020/12/24,2020/12/27,First Class,JB-15925,TEC-MA-10001148,288,480.0
225,2020/12/24,2020/12/27,First Class,JB-15925,OFF-AR-10001958,22,27.0
226,2020/08/09,2020/08/16,Standard Class,DS-13180,OFF-AR-10001026,2,2.0
227,2020/08/09,2020/08/16,Standard Class,DS-13180,FUR-TA-10003748,498,622.0
228,2020/08/09,2020/08/16,Standard Class,DS-13180,OFF-ST-10002485,15,22.0
229,2020/02/28,2020/03/04,Standard Class,VD-21670,FUR-CH-10004860,129,162.0
230,2020/02/28,2020/03/04,Standard Class,VD-21670,FUR-CH-10004477,351,390.0
231,2019/09/13,2019/09/17,Standard Class,EA-14035,OFF-BI-10001679,17,19.0
232,2022/04/07,2022/04/12,Standard Class,CS-12400,FUR-TA-10001705,210,234.0
233,2022/04/07,2022/04/12,Standard Class,CS-12400,FUR-TA-10003473,310,621.0
234,2022/04/07,2022/04/12,Standard Class,CS-12400,OFF-BI-10001679,5,5.0
235,2022/04/07,2022/04/12,Standard Class,CS-12400,FUR-FU-10004017,232,258.0
236,2022/04/07,2022/04/12,Standard Class,CS-12400,TEC-AC-10003832,309,618.0
237,2022/11/12,2022/11/16,Standard Class,DB-13120,OFF-PA-10002479,5,11.0
238,2021/06/04,2021/06/09,Second Class,KL-16645,OFF-PA-10003349,18,26.0
239,2021/06/04,2021/06/09,Second Class,KL-16645,FUR-FU-10000576,252,420.0
240,2021/06/04,2021/06/09,Second Class,KL-16645,FUR-FU-10004351,6,12.0
241,2021/06/04,2021/06/09,Second Class,KL-16645,TEC-PH-10000011,19,32.0
242,2021/06/04,2021/06/09,Second Class,KL-16645,FUR-TA-10002607,160,177.0
243,2021/06/04,2021/06/09,Second Class,KL-16645,FUR-FU-10002505,3,4.0
244,2021/06/04,2021/06/09,Second Class,KL-16645,OFF-AR-10004685,6,7.0
245,2019/06/01,2019/06/06,Second Class,DW-13480,FUR-CH-10004063,1601,2002.0
246,2019/06/01,2019/06/06,Second Class,DW-13480,OFF-ST-10002276,100,167.0
247,2019/06/01,2019/06/06,Second Class,DW-13480,OFF-PA-10004082,43,48.0
248,2019/06/01,2019/06/06,Second Class,DW-13480,OFF-AP-10002945,1052,1503.0
249,2019/06/01,2019/06/06,Second Class,DW-13480,OFF-PA-10000061,21,26.0
250,2021/12/10,2021/12/15,Second Class,LH-17155,FUR-CH-10002965,193,322.0
251,2021/09/11,2021/09/17,Standard Class,KC-16540,OFF-PA-10004569,5,8.0
252,2021/09/11,2021/09/17,Standard Class,KC-16540,TEC-AC-10003832,2343,3347.0
253,2021/12/10,2021/12/13,First Class,DL-13315,OFF-ST-10001228,40,81.0
254,2021/12/10,2021/12/13,First Class,DL-13315,OFF-EN-10003296,217,362.0
255,2020/11/28,2020/12/04,Standard Class,DR-12880,FUR-FU-10002505,11,12.0
256,2020/11/28,2020/12/04,Standard Class,DR-12880,OFF-ST-10004804,41,82.0
257,2020/11/28,2020/12/04,Standard Class,DR-12880,OFF-ST-10001590,32,54.0
258,2020/11/28,2020/12/04,Standard Class,DR-12880,TEC-PH-10001580,389,648.0
259,2022/12/01,2022/12/03,Second Class,CC-12670,TEC-AC-10000290,16,20.0
260,2022/12/01,2022/12/03,Second Class,CC-12670,OFF-ST-10002790,177,222.0
261,2022/12/01,2022/12/03,Second Class,CC-12670,OFF-BI-10003460,12,18.0
262,2022/06/08,2022/06/12,Standard Class,Dl-13600,OFF-AP-10002203,1,2.0
263,2019/09/19,2019/09/21,Second Class,SB-20290,TEC-MA-10000822,1836,3060.0
264,2019/09/19,2019/09/21,Second Class,SB-20290,TEC-MA-10003353,1260,2520.0
265,2021/06/06,2021/06/13,Standard Class,RC-19825,TEC-PH-10001433,263,328.0
266,2020/11/10,2020/11/15,Standard Class,AH-10210,TEC-AC-10004469,56,80.0
267,2022/06/16,2022/06/20,Standard Class,CB-12535,OFF-AR-10003602,11,14.0
268,2021/01/22,2021/01/28,Standard Class,PG-18895,OFF-FA-10003472,5,8.0
269,2022/12/09,2022/12/13,Standard Class,CA-12310,OFF-ST-10004180,19,37.0
270,2022/12/09,2022/12/13,Standard Class,CA-12310,OFF-EN-10004386,29,58.0
271,2022/12/28,2023/01/02,Second Class,KH-16690,OFF-ST-10003208,363,726.0
272,2020/07/30,2020/07/31,First Class,HA-14920,TEC-AC-10003628,168,210.0
273,2020/07/30,2020/07/31,First Class,HA-14920,FUR-FU-10003274,4,5.0
274,2020/07/30,2020/07/31,First Class,HA-14920,OFF-BI-10002557,5,11.0
275,2022/09/16,2022/09/17,First Class,BB-10990,OFF-PA-10002615,4,9.0
276,2022/09/16,2022/09/17,First Class,BB-10990,OFF-AR-10001427,4,6.0
277,2022/10/13,2022/10/17,Standard Class,AG-10495,OFF-PA-10000673,8,12.0
278,2022/10/13,2022/10/17,Standard Class,AG-10495,OFF-PA-10004470,16,18.0
279,2022/10/13,2022/10/17,Standard Class,AG-10495,OFF-ST-10000876,42,60.0
280,2022/10/13,2022/10/17,Standard Class,AG-10495,OFF-LA-10002043,15,25.0
281,2020/09/26,2020/09/28,Second Class,SC-20725,OFF-BI-10004967,1,2.0
282,2020/09/26,2020/09/28,Second Class,SC-20725,TEC-PH-10001760,1003,1114.0
283,2020/11/02,2020/11/06,Standard Class,JO-15280,FUR-TA-10002903,935,1039.0
284,2020/09/26,2020/10/02,Standard Class,TB-21520,OFF-PA-10000474,99,142.0
285,2020/09/26,2020/10/02,Standard Class,TB-21520,TEC-AC-10001956,120,240.0
286,2020/09/26,2020/10/02,Standard Class,TB-21520,OFF-PA-10004100,16,31.0
287,2021/12/18,2021/12/20,Second Class,AH-10195,OFF-BI-10000778,203,254.0
288,2021/12/18,2021/12/20,Second Class,AH-10195,OFF-AP-10002684,156,195.0
289,2021/12/18,2021/12/20,Second Class,AH-10195,OFF-SU-10000646,769,961.0
290,2021/11/20,2021/11/24,Second Class,NZ-18565,OFF-FA-10002983,15,19.0
291,2021/11/20,2021/11/24,Second Class,NZ-18565,OFF-LA-10004689,17,19.0
292,2021/11/20,2021/11/24,Second Class,NZ-18565,TEC-AC-10002001,205,256.0
293,2021/11/20,2021/11/24,Second Class,NZ-18565,FUR-BO-10004709,78,87.0
294,2019/12/26,2019/12/28,First Class,KL-16555,FUR-FU-10004091,210,300.0
295,2019/12/26,2019/12/28,First Class,KL-16555,FUR-CH-10001891,207,230.0
296,2019/12/26,2019/12/28,First Class,KL-16555,FUR-FU-10002918,109,218.0
297,2019/12/26,2019/12/28,First Class,KL-16555,OFF-BI-10004593,55,79.0
298,2019/12/26,2019/12/28,First Class,KL-16555,OFF-FA-10004854,25,28.0
299,2021/10/28,2021/11/03,Standard Class,JD-15895,OFF-PA-10002105,23,32.0
300,2021/10/28,2021/11/03,Standard Class,JD-15895,OFF-ST-10002756,758,1082.0
301,2021/10/28,2021/11/03,Standard Class,JD-15895,OFF-PA-10004243,51,57.0
302,2021/10/28,2021/11/03,Standard Class,JD-15895,FUR-FU-10001861,47,78.0
303,2021/10/28,2021/11/03,Standard Class,JD-15895,OFF-BI-10002706,10,14.0
304,2022/11/19,2022/11/23,Standard Class,JH-15910,FUR-TA-10002533,131,219.0
305,2020/05/04,2020/05/09,Second Class,AS-10225,FUR-FU-10002671,13,27.0
306,2019/12/30,2020/01/04,Standard Class,KB-16600,OFF-AR-10003651,5,10.0
307,2019/06/01,2019/06/06,Standard Class,CR-12625,OFF-BI-10001072,41,45.0
308,2019/06/01,2019/06/06,Standard Class,CR-12625,OFF-AR-10002135,260,289.0
309,2022/04/15,2022/04/17,First Class,SH-20395,OFF-AR-10002804,4,5.0
310,2021/09/12,2021/09/14,Second Class,BP-11185,FUR-FU-10001918,9,15.0
311,2021/09/12,2021/09/14,Second Class,BP-11185,FUR-CH-10004086,327,467.0
312,2021/09/12,2021/09/14,Second Class,BP-11185,FUR-FU-10001756,14,15.0
313,2021/09/12,2021/09/14,Second Class,BP-11185,OFF-LA-10000634,3,6.0
